grant_id,award_year
R305A040043,2004
R305A040056,2004
R305A040082,2004
R305A050004,2005
R305A050056,2005
R305A060010,2006
R305A060021,2006
R305A060034,2006
R305A060044,2006
R305A060067,2006
R305A070063,2007
R305A070117,2007
R305A070185,2007
R305A070324,2007
R305A080063,2008
R305A080066,2008
R305A080096,2008
R305A080133,2008
R305A080196,2008
R305A080253,2008
R305A080326,2008
R305A080347,2008
R305A080372,2008
R305A080459,2008
R305A080464,2008
R305A080479,2008
R305A080512,2008
R305A080608,2008
R305A080627,2008
R305A080631,2008
R305A080696,2008
R305A080697,2008
R305A080699,2008
R305A080700,2008
R305A090019,2009
R305A090032,2009
R305A090039,2009
R305A090094,2009
R305A090100,2009
R305A090114,2009
R305A090150,2009
R305A090162,2009
R305A090195,2009
R305A090197,2009
R305A090204,2009
R305A090209,2009
R305A090212,2009
R305A090281,2009
R305A090294,2009
R305A090353,2009
R305A090361,2009
R305A090369,2009
R305A090438,2009
R305A090446,2009
R305A090479,2009
R305A090481,2009
R305A090527,2009
R305A090528,2009
R305A090533,2009
R305A090555,2009
R305A100047,2010
R305A100058,2010
R305A100066,2010
R305A100116,2010
R305A100120,2010
R305A100275,2010
R305A100289,2010
R305A100342,2010
R305A100367,2010
R305A100369,2010
R305A100381,2010
R305A100389,2010
R305A100445,2010
R305A100568,2010
R305A100583,2010
R305A100596,2010
R305A100625,2010
R305A100654,2010
R305A100670,2010
R305A100971,2010
R305A100995,2009
R305A110085,2011
R305A110112,2011
R305A110136,2011
R305A110149,2011
R305A110176,2011
R305A110204,2011
R305A110252,2011
R305A110297,2011
R305A110358,2011
R305A110397,2011
R305A110398,2011
R305A110483,2011
R305A110515,2011
R305A110609,2011
R305A110685,2011
R305A110703,2011
R305A110809,2011
R305A110967,2011
R305A120045,2012
R305A120125,2012
R305A120145,2012
R305A120184,2012
R305A120262,2012
R305A120269,2012
R305A120280,2012
R305A120288,2012
R305A120391,2012
R305A120466,2012
R305A120631,2012
R305A120677,2012
R305A120781,2012
R305A120809,2010
R305A120810,2011
R305A120811,2012
R305A120812,2011
R305A120813,2011
R305A130011,2013
R305A130044,2013
R305A130107,2013
R305A130125,2013
R305A130143,2013
